Date,Product,Price,Quantity
2024-02-14,Gizmo,72.19,5
2024-09-02,Widget,37.74,8
2024-03-23,Gizmo,31.25,10
2024-03-20,Widget,32.1,9
2024-03-14,Gizmo,80.27,3
2024-06-18,Gizmo,49.62,4
2024-10-21,Gizmo,65.39,8
2024-03-13,Tool,97.01,3
2024-02-04,Gadget,18.89,10
2024-02-17,Tool,67.49,2
2024-09-15,Tool,81.87,10
2024-05-30,Tool,25.59,9
2024-10-06,Widget,57.89,6
2024-06-16,Tool,39.62,4
2024-12-02,Tool,18.46,9
2024-03-02,Tool,16.71,3
2024-03-08,Tool,38.91,2
2024-08-23,Gadget,60.52,4
2024-06-13,Tool,63.16,10
2024-08-27,Gizmo,76.92,2
2024-09-11,Widget,95.93,7
2024-05-02,Widget,47.84,8
2024-03-15,Tool,71.27,4
2024-10-09,Gizmo,99.91,7
2024-01-12,Gadget,66.35,1
2024-02-18,Gizmo,32.73,1
2024-07-08,Widget,49.53,8
2024-02-27,Tool,64.74,1
2024-02-13,Widget,92.0,4
2024-10-02,Widget,61.96,6
2024-01-18,Tool,77.66,8
2024-12-14,Widget,82.02,10
2024-09-01,Widget,70.04,6
2024-12-08,Gadget,95.36,8
2024-06-09,Gadget,14.87,10
2024-07-29,Gadget,12.67,3
2024-07-16,Gadget,34.14,9
2024-09-12,Gizmo,17.81,2
2024-04-24,Gizmo,27.89,10
2024-10-23,Widget,58.82,5
2024-11-16,Gizmo,61.83,2
2024-03-05,Gizmo,64.99,7
2024-12-22,Gadget,81.71,7
2024-03-23,Gadget,65.54,6
2024-07-29,Tool,66.25,6
2024-09-11,Widget,59.3,7
2024-03-31,Tool,63.3,9
2024-10-26,Gizmo,29.18,3
2024-07-25,Widget,84.82,8
2024-12-11,Widget,16.02,7
2024-06-18,Widget,51.69,7
2024-11-14,Gizmo,22.4,10
2024-05-19,Tool,97.99,5
2024-11-30,Gadget,38.33,6
2024-01-02,Gadget,37.47,5
2024-04-20,Tool,58.39,8
2024-09-19,Gizmo,50.82,10
2024-11-16,Widget,46.92,8
2024-06-26,Tool,90.49,1
2024-01-12,Gizmo,16.38,7
2024-10-11,Gizmo,99.79,8
2024-05-27,Gadget,68.72,1
2024-08-20,Gizmo,74.96,8
2024-05-03,Gadget,55.33,10
2024-02-10,Gizmo,34.78,1
2024-02-02,Gizmo,48.42,6
2024-09-22,Tool,49.59,9
2024-04-23,Widget,69.08,9
2024-11-25,Tool,12.09,2
2024-12-24,Gadget,99.6,10
2024-03-23,Gadget,15.2,4
2024-09-14,Widget,32.18,9
2024-01-01,Gadget,96.45,6
2024-05-13,Gadget,95.53,1
2024-09-30,Widget,87.66,10
2024-04-11,Widget,97.46,3
2024-07-01,Widget,94.64,7
2024-05-03,Gadget,17.16,9
2024-03-13,Gizmo,23.26,8
2024-02-17,Widget,28.97,3
2024-12-20,Gadget,19.93,1
2024-06-27,Widget,44.1,3
2024-05-14,Tool,66.39,1
2024-10-14,Gizmo,36.83,4
2024-12-31,Tool,26.37,9
2024-08-21,Tool,28.68,9
2024-08-05,Gizmo,14.3,9
2024-04-03,Gizmo,25.91,10
2024-06-14,Widget,16.57,5
2024-11-07,Gizmo,38.12,3
2024-08-05,Gadget,97.45,3
2024-08-20,Gadget,25.66,8
2024-07-10,Widget,46.47,7
2024-07-22,Gadget,83.62,10
2024-05-16,Gizmo,76.79,4
2024-01-14,Widget,81.42,1
2024-08-03,Gadget,16.26,9
2024-03-10,Gadget,86.5,9
2024-03-16,Tool,27.89,3
2024-05-07,Gadget,52.71,9
