Date,Product,Price,Quantity
2024-07-18,Tool,50.53,4
2024-04-29,Tool,64.38,2
2024-12-21,Gadget,66.8,4
2024-05-06,Widget,53.01,10
2024-02-17,Gizmo,30.83,3
2024-01-16,Widget,90.73,2
2024-03-02,Tool,83.2,4
2024-11-22,Widget,14.03,9
2024-11-15,Widget,70.6,2
2024-11-26,Widget,84.1,10
2024-10-13,Tool,89.37,1
2024-04-29,Tool,72.16,10
2024-07-29,Widget,97.03,10
2024-11-05,Widget,98.1,5
2024-02-10,Gadget,73.63,7
2024-01-19,Gadget,26.55,4
2024-07-25,Widget,18.52,9
2024-01-02,Tool,24.03,7
2024-02-12,Gadget,93.66,6
2024-02-27,Widget,91.53,6
2024-06-09,Gadget,51.14,10
2024-10-29,Gadget,94.9,4
2024-01-20,Widget,38.78,6
2024-03-14,Gadget,26.64,3
2024-04-08,Gizmo,78.71,4
2024-11-07,Widget,95.28,7
2024-01-29,Gizmo,55.92,4
2024-10-31,Tool,28.72,2
2024-10-02,Gizmo,97.69,6
2024-01-11,Widget,88.75,1
2024-08-06,Tool,55.56,8
2024-03-17,Widget,34.17,6
2024-07-28,Gizmo,33.91,4
2024-03-31,Gizmo,78.37,1
2024-09-13,Widget,67.45,5
2024-10-28,Widget,74.26,4
2024-05-23,Gadget,63.91,8
2024-02-18,Tool,40.05,5
2024-06-23,Gizmo,71.04,10
2024-11-15,Gizmo,98.93,3
2024-12-21,Gadget,63.38,3
2024-06-23,Gadget,39.76,7
2024-04-23,Tool,74.36,4
2024-10-21,Widget,64.13,8
2024-11-17,Gadget,54.62,6
2024-08-16,Tool,19.59,10
2024-12-06,Gadget,86.62,9
2024-07-15,Gadget,44.72,3
2024-03-07,Widget,32.24,9
2024-03-10,Widget,60.38,8
2024-03-08,Gadget,18.46,7
2024-08-31,Widget,99.79,7
2024-02-13,Tool,30.28,3
2024-12-24,Tool,31.73,3
2024-07-04,Gizmo,86.76,8
2024-09-17,Widget,87.42,10
2024-11-20,Gadget,27.78,3
2024-01-15,Gadget,91.43,10
2024-08-24,Tool,61.99,8
2024-06-16,Gizmo,52.41,10
2024-09-18,Gizmo,18.92,1
2024-07-12,Widget,99.05,9
2024-04-12,Tool,66.27,4
2024-08-18,Tool,85.93,8
2024-07-19,Widget,70.53,4
2024-06-20,Gizmo,15.64,6
2024-03-16,Widget,94.05,8
2024-05-19,Tool,65.88,6
2024-12-29,Gizmo,28.54,6
2024-04-15,Gizmo,54.44,9
2024-07-05,Gizmo,90.82,10
2024-01-22,Widget,43.06,7
2024-12-22,Tool,42.02,1
2024-10-20,Tool,29.94,5
2024-01-13,Tool,68.38,6
2024-09-06,Tool,34.24,4
2024-10-27,Tool,58.77,9
2024-06-08,Gadget,11.73,7
2024-09-01,Tool,23.13,7
2024-05-24,Gizmo,87.01,2
2024-01-06,Gadget,49.18,3
2024-11-08,Gizmo,55.73,2
2024-07-19,Widget,32.28,10
2024-09-24,Gizmo,55.89,1
2024-05-26,Gizmo,35.8,4
2024-04-24,Widget,94.3,9
2024-08-14,Gizmo,82.84,9
2024-08-17,Tool,59.13,8
2024-06-21,Widget,94.76,5
2024-07-14,Widget,48.59,2
2024-06-10,Widget,94.08,6
2024-10-22,Widget,42.69,8
2024-10-21,Tool,20.24,8
2024-06-10,Gizmo,23.46,9
2024-06-23,Tool,45.19,5
2024-02-11,Tool,95.62,7
2024-05-28,Widget,38.67,2
2024-03-23,Widget,65.09,10
2024-09-20,Gadget,19.13,6
2024-06-01,Gadget,33.08,10
