Date,Product,Price,Quantity
2024-05-22,Widget B,78,10
2024-04-06,Widget A,23,9
2024-01-25,Gadget X,85,13
2024-06-06,Gadget X,67,20
2024-01-01,Gadget Y,69,5
2024-02-04,Widget B,41,10
2024-07-24,Gadget Y,52,5
2024-12-29,Gadget X,18,18
2024-11-12,Widget A,23,5
2024-03-15,Gadget Y,99,10
2024-12-04,Gadget X,16,13
2024-07-26,Widget B,12,10
2024-04-03,Widget B,95,13
2024-12-12,Gadget X,91,16
2024-06-18,Widget B,51,20
2024-03-19,Gadget X,43,6
2024-11-15,Widget B,10,1
2024-12-20,Gadget X,13,5
2024-06-26,Widget B,51,12
2024-06-20,Gadget Y,97,9
2024-05-11,Gadget Y,83,4
2024-11-17,Widget B,25,10
2024-09-30,Widget A,69,4
2024-01-18,Widget B,68,16
2024-05-26,Widget B,36,19
2024-01-27,Gadget X,57,3
2024-03-04,Widget B,37,16
2024-10-27,Gadget Y,29,9
2024-03-21,Widget A,69,16
2024-06-06,Widget B,100,8
2024-04-22,Gadget Y,28,19
2024-08-16,Widget A,62,4
2024-04-10,Gadget X,38,5
2024-11-03,Widget B,53,2
2024-11-24,Gadget X,20,16
2024-12-30,Widget B,27,5
2024-03-30,Widget B,63,3
2024-03-31,Gadget X,83,14
2024-06-26,Gadget Y,20,8
2024-10-27,Widget A,82,13
2024-09-20,Gadget X,14,6
2024-01-08,Widget B,19,17
2024-01-08,Gadget Y,62,17
2024-09-27,Widget A,48,7
2024-05-13,Widget A,47,8
2024-03-04,Widget A,10,3
2024-06-26,Widget B,63,3
2024-04-23,Widget A,53,18
2024-11-18,Widget A,75,3
2024-10-28,Widget B,31,13
2024-04-25,Widget B,46,8
2024-12-01,Gadget X,19,9
2024-01-07,Gadget Y,57,19
2024-12-21,Gadget Y,90,17
2024-02-28,Widget A,48,1
2024-11-01,Gadget X,32,18
2024-07-06,Widget A,21,19
2024-05-06,Gadget X,92,2
2024-05-13,Widget A,57,7
2024-05-07,Widget A,46,1
2024-01-06,Gadget X,31,5
2024-11-02,Widget B,38,17
2024-12-07,Gadget X,62,7
2024-03-15,Widget A,83,19
2024-07-14,Widget A,45,20
2024-12-12,Widget B,33,13
2024-05-27,Widget B,48,12
2024-09-03,Gadget X,53,14
2024-09-20,Widget A,13,11
2024-12-11,Widget A,45,19
2024-09-16,Gadget Y,70,11
2024-01-10,Widget A,48,15
2024-11-16,Gadget Y,77,1
2024-05-22,Widget A,80,16
2024-11-24,Widget B,31,4
2024-09-15,Widget B,88,5
2024-01-10,Gadget X,73,6
2024-07-24,Gadget Y,13,12
2024-11-29,Gadget X,65,15
2024-10-30,Gadget Y,88,11
2024-06-28,Widget B,52,8
2024-10-03,Gadget X,68,5
2024-08-04,Gadget Y,31,1
2024-02-14,Widget A,58,5
2024-12-30,Gadget X,32,13
2024-11-14,Gadget Y,73,7
2024-11-28,Widget B,82,10
2024-08-22,Widget A,97,11
2024-04-02,Gadget Y,46,18
2024-03-04,Gadget Y,71,4
2024-09-13,Gadget Y,15,1
2024-12-26,Widget A,54,10
2024-04-28,Gadget X,58,5
2024-05-21,Widget B,42,18
2024-07-07,Gadget X,25,16
2024-01-01,Widget B,88,16
2024-12-31,Widget A,37,17
2024-05-17,Widget A,29,7
2024-10-06,Widget B,19,20
2024-04-28,Widget B,93,15
